area_name,area_type,ref_period,crime_or_offence,measure_type,value
Na h-Eileanan Siar,Local Authority,2010/2011,all-group-7-miscellaneous-offences,count,95
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-7-licensing-offences,count,24
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-7-environmental-offences,count,10
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,277
Na h-Eileanan Siar,Local Authority,2010/2011,all-group-6-antisocial-offences,count,392
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-6-drunkenness-and-other-disorderly-conduct,count,79
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-6-racially-aggravated-conduct,count,7
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-8-seat-belt-offences,count,47
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-8-driving-under-the-influence,count,66
Falkirk,Local Authority,2010/2011,crimes-group-1-murder-and-culpable-homicide,count,1
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-8-mobile-phone-offences,count,25
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-7-other-misc-offences,count,0
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-7-wildlife-offences,count,22
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-8-dangerous-and-careless-driving,count,62
East Lothian,Local Authority,2010/2011,crimes-group-2-sexual-assault,count,36
East Lothian,Local Authority,2010/2011,crimes-group-2-rape-attempted-rape,count,13
East Lothian,Local Authority,2010/2011,crimes-group-2-other-sexual-crimes,count,7
East Lothian,Local Authority,2010/2011,crimes-group-2-crimes-associated-with-prostitution,count,0
East Lothian,Local Authority,2010/2011,all-group-2-sexual-crimes,count,68
East Lothian,Local Authority,2010/2011,all-group-1-non-sexual-crimes-of-violence,count,895
East Lothian,Local Authority,2010/2011,crimes-group-1-robbery,count,10
East Lothian,Local Authority,2010/2011,all-group-3-crimes-of-dishonesty,count,2027
East Lothian,Local Authority,2010/2011,crimes-group-3-fraud,count,111
East Lothian,Local Authority,2010/2011,crimes-group-3-other-theft,count,923
East Lothian,Local Authority,2010/2011,crimes-group-4-fire-raising,count,44
East Lothian,Local Authority,2010/2011,crimes-group-3-other-dishonesty,count,40
East Lothian,Local Authority,2010/2011,crimes-group-3-theft-by-opening-lockfast-places,count,64
East Lothian,Local Authority,2010/2011,crimes-group-3-housebreaking,count,296
East Lothian,Local Authority,2010/2011,crimes-group-3-shoplifting,count,361
East Lothian,Local Authority,2010/2011,crimes-group-3-theft-from-a-motor-vehicle,count,98
Falkirk,Local Authority,2010/2011,offences-group-7-community-and-public-order-offences,count,221
Falkirk,Local Authority,2010/2011,all-group-7-miscellaneous-offences,count,405
Falkirk,Local Authority,2010/2011,offences-group-7-licensing-offences,count,66
Falkirk,Local Authority,2010/2011,offences-group-7-environmental-offences,count,35
Falkirk,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,1933
Falkirk,Local Authority,2010/2011,all-group-6-antisocial-offences,count,2419
Falkirk,Local Authority,2010/2011,offences-group-6-drunkenness-and-other-disorderly-conduct,count,155
Falkirk,Local Authority,2010/2011,offences-group-6-racially-aggravated-conduct,count,137
Falkirk,Local Authority,2010/2011,offences-group-8-seat-belt-offences,count,1064
Falkirk,Local Authority,2010/2011,offences-group-8-driving-under-the-influence,count,238
East Lothian,Local Authority,2010/2011,all-crimes,count,5324
Falkirk,Local Authority,2010/2011,offences-group-8-mobile-phone-offences,count,677
Falkirk,Local Authority,2010/2011,offences-group-7-other-misc-offences,count,19
Falkirk,Local Authority,2010/2011,offences-group-7-wildlife-offences,count,64
Falkirk,Local Authority,2010/2011,offences-group-8-dangerous-and-careless-driving,count,299
Renfrewshire,Local Authority,2010/2011,crimes-group-5-weapons-possession-not-used,count,225
Renfrewshire,Local Authority,2010/2011,crimes-group-5-drugs-supply,count,215
Renfrewshire,Local Authority,2010/2011,crimes-group-4-reckless-conduct,count,94
Renfrewshire,Local Authority,2010/2011,all-group-5-crimes-against-society,count,2547
Renfrewshire,Local Authority,2010/2011,all-group-6-antisocial-offences,count,5961
Renfrewshire,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,2804
Renfrewshire,Local Authority,2010/2011,crimes-group-5-drugs-possession,count,1127
Renfrewshire,Local Authority,2010/2011,crimes-group-5-other-crimes-against-society,count,20
Renfrewshire,Local Authority,2010/2011,crimes-group-2-causing-to-view-sexual-activity-or-images,count,22
Renfrewshire,Local Authority,2010/2011,crimes-group-2-communicating-indecently,count,4
Renfrewshire,Local Authority,2010/2011,crimes-group-1-common-assault,count,2676
Renfrewshire,Local Authority,2010/2011,crimes-group-1-other-non-sexual-violence,count,90
Renfrewshire,Local Authority,2010/2011,all-group-4-damage-and-reckless-behaviour,count,2622
Renfrewshire,Local Authority,2010/2011,crimes-group-4-vandalism,count,2389
Renfrewshire,Local Authority,2010/2011,crimes-group-2-indecent-photos-of-children,count,6
Renfrewshire,Local Authority,2010/2011,crimes-group-3-theft-of-a-motor-vehicle,count,285
Renfrewshire,Local Authority,2010/2011,offences-group-8-driving-under-the-influence,count,241
Renfrewshire,Local Authority,2010/2011,offences-group-8-seat-belt-offences,count,983
Renfrewshire,Local Authority,2010/2011,offences-group-7-other-misc-offences,count,5
Renfrewshire,Local Authority,2010/2011,offences-group-8-dangerous-and-careless-driving,count,325
Moray,Local Authority,2010/2011,crimes-group-2-crimes-associated-with-prostitution,count,0
Moray,Local Authority,2010/2011,crimes-group-2-other-sexual-crimes,count,28
Renfrewshire,Local Authority,2010/2011,offences-group-8-mobile-phone-offences,count,1209
Moray,Local Authority,2010/2011,crimes-group-2-sexual-assault,count,98
Renfrewshire,Local Authority,2010/2011,all-group-7-miscellaneous-offences,count,460
Renfrewshire,Local Authority,2010/2011,offences-group-7-community-and-public-order-offences,count,322
Renfrewshire,Local Authority,2010/2011,offences-group-6-racially-aggravated-conduct,count,126
Renfrewshire,Local Authority,2010/2011,offences-group-6-drunkenness-and-other-disorderly-conduct,count,2365
Renfrewshire,Local Authority,2010/2011,offences-group-7-licensing-offences,count,45
Renfrewshire,Local Authority,2010/2011,offences-group-7-wildlife-offences,count,59
Renfrewshire,Local Authority,2010/2011,offences-group-7-environmental-offences,count,29
Midlothian,Local Authority,2010/2011,crimes-group-4-reckless-conduct,count,57
Midlothian,Local Authority,2010/2011,crimes-group-4-vandalism,count,1213
Midlothian,Local Authority,2010/2011,crimes-group-5-weapons-possession-not-used,count,67
Midlothian,Local Authority,2010/2011,all-group-5-crimes-against-society,count,819
Midlothian,Local Authority,2010/2011,crimes-group-2-indecent-photos-of-children,count,0
Midlothian,Local Authority,2010/2011,crimes-group-2-communicating-indecently,count,0
Midlothian,Local Authority,2010/2011,all-group-4-damage-and-reckless-behaviour,count,1303
Midlothian,Local Authority,2010/2011,crimes-group-3-theft-of-a-motor-vehicle,count,190
Midlothian,Local Authority,2010/2011,offences-group-6-racially-aggravated-conduct,count,42
Midlothian,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,605
Midlothian,Local Authority,2010/2011,all-group-7-miscellaneous-offences,count,94
Midlothian,Local Authority,2010/2011,offences-group-6-drunkenness-and-other-disorderly-conduct,count,77
Midlothian,Local Authority,2010/2011,crimes-group-5-drugs-possession,count,302
Midlothian,Local Authority,2010/2011,crimes-group-5-drugs-supply,count,86
Midlothian,Local Authority,2010/2011,all-group-6-antisocial-offences,count,868
Midlothian,Local Authority,2010/2011,crimes-group-5-other-crimes-against-society,count,1
Moray,Local Authority,2010/2011,all-group-3-crimes-of-dishonesty,count,1990
Moray,Local Authority,2010/2011,crimes-group-1-robbery,count,17
Moray,Local Authority,2010/2011,all-group-1-non-sexual-crimes-of-violence,count,1372
Moray,Local Authority,2010/2011,all-group-2-sexual-crimes,count,177
Renfrewshire,Local Authority,2010/2011,crimes-group-1-causing-death-by-driving-dangerously,count,0
Renfrewshire,Local Authority,2010/2011,crimes-group-1-serious-assault-and-attempted-murder,count,325
Moray,Local Authority,2010/2011,crimes-group-2-rape-attempted-rape,count,27
Renfrewshire,Local Authority,2010/2011,crimes-group-1-murder-and-culpable-homicide,count,1
Midlothian,Local Authority,2010/2011,crimes-group-1-common-assault,count,778
Midlothian,Local Authority,2010/2011,crimes-group-1-serious-assault-and-attempted-murder,count,52
Midlothian,Local Authority,2010/2011,crimes-group-2-causing-to-view-sexual-activity-or-images,count,4
Midlothian,Local Authority,2010/2011,crimes-group-1-other-non-sexual-violence,count,58
Midlothian,Local Authority,2010/2011,crimes-group-1-murder-and-culpable-homicide,count,1
Moray,Local Authority,2010/2011,all-crimes,count,5333
