area_name,area_type,ref_period,crime_or_offence,measure_type,value
Perth and Kinross,Local Authority,2005/2006,crimes-group-4-fire-raising,count,95
Aberdeen City,Local Authority,2005/2006,crimes-group-3-theft-from-a-motor-vehicle,count,1449
Aberdeen City,Local Authority,2005/2006,crimes-group-3-shoplifting,count,2282
Shetland Islands,Local Authority,2005/2006,crimes-group-4-fire-raising,count,12
Clackmannanshire,Local Authority,2005/2006,crimes-group-5-drugs-possession,count,237
Clackmannanshire,Local Authority,2005/2006,crimes-group-5-other-crimes-against-society,count,6
Aberdeen City,Local Authority,2005/2006,crimes-group-5-crimes-against-public-justice,count,969
Aberdeen City,Local Authority,2005/2006,crimes-group-4-fire-raising,count,280
Aberdeen City,Local Authority,2005/2006,offences-group-6-urinating-etc,count,224
Fife,Local Authority,2005/2006,offences-group-6-threatening-and-abusive-behaviour,count,4999
Fife,Local Authority,2005/2006,crimes-group-1-murder-and-culpable-homicide,count,1
Fife,Local Authority,2005/2006,crimes-group-3-other-theft,count,5795
Fife,Local Authority,2005/2006,crimes-group-5-other-crimes-against-society,count,16
Fife,Local Authority,2005/2006,crimes-group-3-housebreaking,count,2470
Fife,Local Authority,2005/2006,offences-group-8-driving-under-the-influence,count,744
Fife,Local Authority,2005/2006,offences-group-8-dangerous-and-careless-driving,count,742
East Dunbartonshire,Local Authority,2005/2006,all-group-3-crimes-of-dishonesty,count,1843
East Dunbartonshire,Local Authority,2005/2006,all-group-2-sexual-crimes,count,26
East Dunbartonshire,Local Authority,2005/2006,crimes-group-1-robbery,count,19
Fife,Local Authority,2005/2006,all-group-2-sexual-crimes,count,479
East Dunbartonshire,Local Authority,2005/2006,all-crimes,count,5391
Fife,Local Authority,2005/2006,crimes-group-5-drugs-possession,count,1392
East Dunbartonshire,Local Authority,2005/2006,all-group-1-non-sexual-crimes-of-violence,count,920
Renfrewshire,Local Authority,2005/2006,crimes-group-2-sexual-assault,count,71
Perth and Kinross,Local Authority,2005/2006,crimes-group-2-crimes-associated-with-prostitution,count,0
Renfrewshire,Local Authority,2005/2006,crimes-group-1-robbery,count,192
Renfrewshire,Local Authority,2005/2006,crimes-group-2-rape-attempted-rape,count,19
South Ayrshire,Local Authority,2005/2006,crimes-group-5-crimes-against-public-justice,count,394
Aberdeenshire,Local Authority,2005/2006,offences-group-8-driving-under-the-influence,count,495
South Ayrshire,Local Authority,2005/2006,offences-group-6-urinating-etc,count,253
Renfrewshire,Local Authority,2005/2006,all-crimes,count,15368
Renfrewshire,Local Authority,2005/2006,all-group-1-non-sexual-crimes-of-violence,count,2688
Fife,Local Authority,2005/2006,crimes-group-2-other-sexual-crimes,count,38
Perth and Kinross,Local Authority,2005/2006,crimes-group-2-other-sexual-crimes,count,13
Renfrewshire,Local Authority,2005/2006,all-group-3-crimes-of-dishonesty,count,6367
Renfrewshire,Local Authority,2005/2006,all-group-2-sexual-crimes,count,115
Fife,Local Authority,2005/2006,crimes-group-2-causing-to-view-sexual-activity-or-images,count,58
East Dunbartonshire,Local Authority,2005/2006,crimes-group-4-fire-raising,count,45
Fife,Local Authority,2005/2006,crimes-group-5-weapons-possession-not-used,count,273
East Dunbartonshire,Local Authority,2005/2006,crimes-group-5-crimes-against-public-justice,count,203
East Dunbartonshire,Local Authority,2005/2006,crimes-group-3-fraud,count,123
East Dunbartonshire,Local Authority,2005/2006,crimes-group-3-other-theft,count,630
East Dunbartonshire,Local Authority,2005/2006,crimes-group-3-other-dishonesty,count,58
Fife,Local Authority,2005/2006,all-group-4-damage-and-reckless-behaviour,count,10522
Fife,Local Authority,2005/2006,crimes-group-4-vandalism,count,9778
Fife,Local Authority,2005/2006,crimes-group-3-theft-of-a-motor-vehicle,count,874
East Dunbartonshire,Local Authority,2005/2006,offences-group-6-urinating-etc,count,87
Fife,Local Authority,2005/2006,all-group-5-crimes-against-society,count,3974
Fife,Local Authority,2005/2006,crimes-group-4-reckless-conduct,count,345
Fife,Local Authority,2005/2006,crimes-group-1-serious-assault-and-attempted-murder,count,323
Fife,Local Authority,2005/2006,crimes-group-1-causing-death-by-driving-dangerously,count,0
East Dunbartonshire,Local Authority,2005/2006,crimes-group-2-crimes-associated-with-prostitution,count,0
Fife,Local Authority,2005/2006,crimes-group-1-common-assault,count,5377
East Dunbartonshire,Local Authority,2005/2006,crimes-group-2-sexual-assault,count,15
East Dunbartonshire,Local Authority,2005/2006,crimes-group-2-rape-attempted-rape,count,4
Fife,Local Authority,2005/2006,crimes-group-5-drugs-supply,count,600
East Dunbartonshire,Local Authority,2005/2006,crimes-group-3-theft-from-a-motor-vehicle,count,165
East Dunbartonshire,Local Authority,2005/2006,crimes-group-3-theft-by-opening-lockfast-places,count,60
East Dunbartonshire,Local Authority,2005/2006,crimes-group-3-shoplifting,count,226
East Dunbartonshire,Local Authority,2005/2006,crimes-group-3-housebreaking,count,426
East Dunbartonshire,Local Authority,2005/2006,crimes-group-2-other-sexual-crimes,count,2
Fife,Local Authority,2005/2006,crimes-group-1-other-non-sexual-violence,count,112
East Ayrshire,Local Authority,2005/2006,crimes-group-3-theft-of-a-motor-vehicle,count,395
East Ayrshire,Local Authority,2005/2006,crimes-group-2-causing-to-view-sexual-activity-or-images,count,9
East Ayrshire,Local Authority,2005/2006,crimes-group-4-vandalism,count,2601
East Ayrshire,Local Authority,2005/2006,all-group-4-damage-and-reckless-behaviour,count,2794
East Ayrshire,Local Authority,2005/2006,crimes-group-1-common-assault,count,1584
East Ayrshire,Local Authority,2005/2006,crimes-group-1-serious-assault-and-attempted-murder,count,165
East Ayrshire,Local Authority,2005/2006,crimes-group-1-other-non-sexual-violence,count,40
Perth and Kinross,Local Authority,2005/2006,all-group-2-sexual-crimes,count,130
Perth and Kinross,Local Authority,2005/2006,all-group-1-non-sexual-crimes-of-violence,count,1386
Fife,Local Authority,2005/2006,all-group-1-non-sexual-crimes-of-violence,count,5996
East Ayrshire,Local Authority,2005/2006,all-group-5-crimes-against-society,count,1805
East Ayrshire,Local Authority,2005/2006,crimes-group-4-reckless-conduct,count,80
East Ayrshire,Local Authority,2005/2006,crimes-group-5-weapons-possession-not-used,count,240
Inverclyde,Local Authority,2005/2006,offences-group-8-dangerous-and-careless-driving,count,195
Perth and Kinross,Local Authority,2005/2006,all-crimes,count,9239
Falkirk,Local Authority,2005/2006,crimes-group-1-serious-assault-and-attempted-murder,count,131
Inverclyde,Local Authority,2005/2006,offences-group-8-driving-under-the-influence,count,134
Perth and Kinross,Local Authority,2005/2006,crimes-group-3-other-dishonesty,count,141
West Lothian,Local Authority,2005/2006,all-crimes,count,15572
East Ayrshire,Local Authority,2005/2006,crimes-group-1-murder-and-culpable-homicide,count,1
Renfrewshire,Local Authority,2005/2006,crimes-group-3-other-dishonesty,count,152
Renfrewshire,Local Authority,2005/2006,crimes-group-4-fire-raising,count,178
East Ayrshire,Local Authority,2005/2006,crimes-group-1-causing-death-by-driving-dangerously,count,1
Falkirk,Local Authority,2005/2006,crimes-group-1-causing-death-by-driving-dangerously,count,2
Perth and Kinross,Local Authority,2005/2006,crimes-group-3-housebreaking,count,379
Falkirk,Local Authority,2005/2006,crimes-group-1-murder-and-culpable-homicide,count,3
Perth and Kinross,Local Authority,2005/2006,crimes-group-3-other-theft,count,1527
South Ayrshire,Local Authority,2005/2006,crimes-group-3-shoplifting,count,435
East Ayrshire,Local Authority,2005/2006,offences-group-8-driving-under-the-influence,count,250
East Ayrshire,Local Authority,2005/2006,offences-group-8-dangerous-and-careless-driving,count,211
South Ayrshire,Local Authority,2005/2006,crimes-group-3-theft-from-a-motor-vehicle,count,215
Fife,Local Authority,2005/2006,crimes-group-2-sexual-assault,count,282
East Ayrshire,Local Authority,2005/2006,offences-group-6-threatening-and-abusive-behaviour,count,2101
Aberdeenshire,Local Authority,2005/2006,offences-group-8-dangerous-and-careless-driving,count,1327
South Ayrshire,Local Authority,2005/2006,crimes-group-3-other-dishonesty,count,84
South Ayrshire,Local Authority,2005/2006,crimes-group-4-fire-raising,count,61
Aberdeenshire,Local Authority,2005/2006,offences-group-6-threatening-and-abusive-behaviour,count,3000
South Ayrshire,Local Authority,2005/2006,crimes-group-3-other-theft,count,1151
South Ayrshire,Local Authority,2005/2006,crimes-group-3-fraud,count,314
Fife,Local Authority,2005/2006,crimes-group-2-crimes-associated-with-prostitution,count,0
Renfrewshire,Local Authority,2005/2006,crimes-group-3-theft-from-a-motor-vehicle,count,875
Renfrewshire,Local Authority,2005/2006,crimes-group-3-housebreaking,count,1112
Renfrewshire,Local Authority,2005/2006,crimes-group-3-theft-by-opening-lockfast-places,count,258
Renfrewshire,Local Authority,2005/2006,crimes-group-3-other-theft,count,2155
Renfrewshire,Local Authority,2005/2006,crimes-group-3-fraud,count,307
Renfrewshire,Local Authority,2005/2006,crimes-group-3-shoplifting,count,969
East Ayrshire,Local Authority,2005/2006,crimes-group-5-drugs-possession,count,770
East Ayrshire,Local Authority,2005/2006,crimes-group-5-drugs-supply,count,295
East Ayrshire,Local Authority,2005/2006,crimes-group-5-other-crimes-against-society,count,6
Renfrewshire,Local Authority,2005/2006,crimes-group-2-crimes-associated-with-prostitution,count,0
Renfrewshire,Local Authority,2005/2006,crimes-group-2-other-sexual-crimes,count,9
Fife,Local Authority,2005/2006,crimes-group-3-other-dishonesty,count,623
Dumfries and Galloway,Local Authority,2005/2006,offences-group-6-urinating-etc,count,66
Scottish Borders,Local Authority,2005/2006,crimes-group-3-theft-of-a-motor-vehicle,count,131
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-5-crimes-against-public-justice,count,899
Midlothian,Local Authority,2005/2006,crimes-group-1-common-assault,count,1080
Midlothian,Local Authority,2005/2006,crimes-group-1-other-non-sexual-violence,count,66
Midlothian,Local Authority,2005/2006,crimes-group-1-serious-assault-and-attempted-murder,count,65
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-3-other-theft,count,1706
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-3-fraud,count,212
Scottish Borders,Local Authority,2005/2006,crimes-group-5-weapons-possession-not-used,count,103
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-4-fire-raising,count,126
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-3-other-dishonesty,count,168
Stirling,Local Authority,2005/2006,offences-group-6-threatening-and-abusive-behaviour,count,1507
Aberdeenshire,Local Authority,2005/2006,crimes-group-1-causing-death-by-driving-dangerously,count,4
Aberdeenshire,Local Authority,2005/2006,all-group-1-non-sexual-crimes-of-violence,count,2569
Stirling,Local Authority,2005/2006,offences-group-8-dangerous-and-careless-driving,count,199
Scottish Borders,Local Authority,2005/2006,crimes-group-1-common-assault,count,1123
Aberdeenshire,Local Authority,2005/2006,crimes-group-1-common-assault,count,2305
Aberdeenshire,Local Authority,2005/2006,crimes-group-1-serious-assault-and-attempted-murder,count,133
Aberdeenshire,Local Authority,2005/2006,all-group-2-sexual-crimes,count,242
Scottish Borders,Local Authority,2005/2006,crimes-group-1-other-non-sexual-violence,count,51
Scottish Borders,Local Authority,2005/2006,crimes-group-2-causing-to-view-sexual-activity-or-images,count,8
Stirling,Local Authority,2005/2006,crimes-group-5-drugs-possession,count,458
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-2-rape-attempted-rape,count,32
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-1-robbery,count,37
Aberdeenshire,Local Authority,2005/2006,crimes-group-5-other-crimes-against-society,count,3
Aberdeenshire,Local Authority,2005/2006,crimes-group-5-drugs-possession,count,661
Scottish Borders,Local Authority,2005/2006,offences-group-6-threatening-and-abusive-behaviour,count,1160
Falkirk,Local Authority,2005/2006,crimes-group-2-other-sexual-crimes,count,14
Dumfries and Galloway,Local Authority,2005/2006,all-group-3-crimes-of-dishonesty,count,3870
Dumfries and Galloway,Local Authority,2005/2006,all-group-2-sexual-crimes,count,136
Scottish Borders,Local Authority,2005/2006,offences-group-8-dangerous-and-careless-driving,count,140
Falkirk,Local Authority,2005/2006,crimes-group-3-housebreaking,count,680
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-3-theft-by-opening-lockfast-places,count,208
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-3-theft-from-a-motor-vehicle,count,184
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-3-housebreaking,count,447
Aberdeenshire,Local Authority,2005/2006,crimes-group-4-vandalism,count,4068
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-3-shoplifting,count,759
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-2-crimes-associated-with-prostitution,count,0
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-2-other-sexual-crimes,count,8
Dumfries and Galloway,Local Authority,2005/2006,crimes-group-2-sexual-assault,count,79
Stirling,Local Authority,2005/2006,crimes-group-5-other-crimes-against-society,count,6
Aberdeenshire,Local Authority,2005/2006,crimes-group-5-drugs-supply,count,203
Scottish Borders,Local Authority,2005/2006,crimes-group-5-drugs-possession,count,559
Stirling,Local Authority,2005/2006,offences-group-8-driving-under-the-influence,count,190
Scottish Borders,Local Authority,2005/2006,crimes-group-5-other-crimes-against-society,count,2
East Dunbartonshire,Local Authority,2005/2006,crimes-group-2-causing-to-view-sexual-activity-or-images,count,5
Aberdeenshire,Local Authority,2005/2006,crimes-group-5-weapons-possession-not-used,count,169
East Dunbartonshire,Local Authority,2005/2006,crimes-group-1-other-non-sexual-violence,count,30
Moray,Local Authority,2005/2006,all-crimes,count,6879
East Dunbartonshire,Local Authority,2005/2006,offences-group-8-driving-under-the-influence,count,136
Fife,Local Authority,2005/2006,offences-group-6-urinating-etc,count,238
Aberdeenshire,Local Authority,2005/2006,crimes-group-3-other-theft,count,2381
East Dunbartonshire,Local Authority,2005/2006,offences-group-8-dangerous-and-careless-driving,count,148
East Dunbartonshire,Local Authority,2005/2006,crimes-group-5-drugs-supply,count,76
East Dunbartonshire,Local Authority,2005/2006,crimes-group-5-weapons-possession-not-used,count,129
East Dunbartonshire,Local Authority,2005/2006,crimes-group-5-drugs-possession,count,323
East Dunbartonshire,Local Authority,2005/2006,crimes-group-4-reckless-conduct,count,38
East Dunbartonshire,Local Authority,2005/2006,all-group-5-crimes-against-society,count,731
East Dunbartonshire,Local Authority,2005/2006,crimes-group-3-theft-of-a-motor-vehicle,count,155
East Dunbartonshire,Local Authority,2005/2006,all-group-4-damage-and-reckless-behaviour,count,1871
East Dunbartonshire,Local Authority,2005/2006,offences-group-6-threatening-and-abusive-behaviour,count,1032
East Dunbartonshire,Local Authority,2005/2006,crimes-group-5-other-crimes-against-society,count,0
East Dunbartonshire,Local Authority,2005/2006,crimes-group-4-vandalism,count,1788
Aberdeenshire,Local Authority,2005/2006,all-crimes,count,13650
Aberdeenshire,Local Authority,2005/2006,all-group-5-crimes-against-society,count,1544
Aberdeenshire,Local Authority,2005/2006,crimes-group-3-shoplifting,count,607
East Dunbartonshire,Local Authority,2005/2006,crimes-group-1-murder-and-culpable-homicide,count,2
Scottish Borders,Local Authority,2005/2006,crimes-group-5-drugs-supply,count,247
Scottish Borders,Local Authority,2005/2006,crimes-group-1-serious-assault-and-attempted-murder,count,69
Aberdeenshire,Local Authority,2005/2006,crimes-group-2-other-sexual-crimes,count,35
Perth and Kinross,Local Authority,2005/2006,offences-group-6-urinating-etc,count,209
Aberdeenshire,Local Authority,2005/2006,crimes-group-4-reckless-conduct,count,26
Aberdeenshire,Local Authority,2005/2006,crimes-group-1-murder-and-culpable-homicide,count,0
East Dunbartonshire,Local Authority,2005/2006,crimes-group-1-serious-assault-and-attempted-murder,count,100
East Dunbartonshire,Local Authority,2005/2006,crimes-group-1-common-assault,count,769
Fife,Local Authority,2005/2006,crimes-group-2-rape-attempted-rape,count,101
Moray,Local Authority,2005/2006,all-group-1-non-sexual-crimes-of-violence,count,1334
Moray,Local Authority,2005/2006,all-group-2-sexual-crimes,count,199
Moray,Local Authority,2005/2006,crimes-group-2-rape-attempted-rape,count,33
Moray,Local Authority,2005/2006,crimes-group-1-robbery,count,20
Moray,Local Authority,2005/2006,crimes-group-2-sexual-assault,count,125
East Dunbartonshire,Local Authority,2005/2006,crimes-group-1-causing-death-by-driving-dangerously,count,0
Moray,Local Authority,2005/2006,all-group-3-crimes-of-dishonesty,count,2234
Stirling,Local Authority,2005/2006,crimes-group-3-theft-of-a-motor-vehicle,count,133
Stirling,Local Authority,2005/2006,all-group-4-damage-and-reckless-behaviour,count,1664
Aberdeenshire,Local Authority,2005/2006,crimes-group-1-robbery,count,32
Stirling,Local Authority,2005/2006,crimes-group-4-reckless-conduct,count,56
Stirling,Local Authority,2005/2006,crimes-group-4-vandalism,count,1565
Stirling,Local Authority,2005/2006,crimes-group-1-serious-assault-and-attempted-murder,count,71
Stirling,Local Authority,2005/2006,crimes-group-1-common-assault,count,1126
Fife,Local Authority,2005/2006,crimes-group-1-robbery,count,183
Stirling,Local Authority,2005/2006,crimes-group-2-causing-to-view-sexual-activity-or-images,count,27
Stirling,Local Authority,2005/2006,crimes-group-1-other-non-sexual-violence,count,31
Scottish Borders,Local Authority,2005/2006,crimes-group-4-reckless-conduct,count,39
Scottish Borders,Local Authority,2005/2006,all-group-5-crimes-against-society,count,1312
Falkirk,Local Authority,2005/2006,all-group-2-sexual-crimes,count,197
Moray,Local Authority,2005/2006,crimes-group-2-other-sexual-crimes,count,25
Moray,Local Authority,2005/2006,crimes-group-3-housebreaking,count,351
Falkirk,Local Authority,2005/2006,all-crimes,count,11400
Aberdeenshire,Local Authority,2005/2006,crimes-group-2-rape-attempted-rape,count,37
Stirling,Local Authority,2005/2006,all-group-5-crimes-against-society,count,1342
Scottish Borders,Local Authority,2005/2006,crimes-group-4-vandalism,count,1991
Falkirk,Local Authority,2005/2006,all-group-1-non-sexual-crimes-of-violence,count,2049
Clackmannanshire,Local Authority,2005/2006,crimes-group-1-causing-death-by-driving-dangerously,count,0
Clackmannanshire,Local Authority,2005/2006,crimes-group-1-murder-and-culpable-homicide,count,0
Midlothian,Local Authority,2005/2006,crimes-group-1-causing-death-by-driving-dangerously,count,0
Scottish Borders,Local Authority,2005/2006,all-group-4-damage-and-reckless-behaviour,count,2087
Perth and Kinross,Local Authority,2005/2006,crimes-group-5-crimes-against-public-justice,count,677
Renfrewshire,Local Authority,2005/2006,offences-group-6-urinating-etc,count,79
Midlothian,Local Authority,2005/2006,crimes-group-1-murder-and-culpable-homicide,count,1
Renfrewshire,Local Authority,2005/2006,crimes-group-5-crimes-against-public-justice,count,734
Moray,Local Authority,2005/2006,crimes-group-3-theft-by-opening-lockfast-places,count,136
Fife,Local Authority,2005/2006,crimes-group-3-theft-from-a-motor-vehicle,count,1139
Aberdeenshire,Local Authority,2005/2006,all-group-4-damage-and-reckless-behaviour,count,4310
Perth and Kinross,Local Authority,2005/2006,crimes-group-1-robbery,count,20
Perth and Kinross,Local Authority,2005/2006,crimes-group-2-sexual-assault,count,80
Stirling,Local Authority,2005/2006,crimes-group-1-causing-death-by-driving-dangerously,count,2
Stirling,Local Authority,2005/2006,crimes-group-1-murder-and-culpable-homicide,count,0
Aberdeenshire,Local Authority,2005/2006,crimes-group-2-causing-to-view-sexual-activity-or-images,count,20
Shetland Islands,Local Authority,2005/2006,crimes-group-3-theft-by-opening-lockfast-places,count,8
Aberdeenshire,Local Authority,2005/2006,crimes-group-3-theft-of-a-motor-vehicle,count,257
Shetland Islands,Local Authority,2005/2006,crimes-group-2-other-sexual-crimes,count,13
Shetland Islands,Local Authority,2005/2006,crimes-group-3-housebreaking,count,31
Shetland Islands,Local Authority,2005/2006,all-crimes,count,1005
Stirling,Local Authority,2005/2006,crimes-group-5-drugs-supply,count,171
Shetland Islands,Local Authority,2005/2006,all-group-2-sexual-crimes,count,41
Dumfries and Galloway,Local Authority,2005/2006,all-group-1-non-sexual-crimes-of-violence,count,2012
Aberdeenshire,Local Authority,2005/2006,crimes-group-3-housebreaking,count,832
Falkirk,Local Authority,2005/2006,all-group-3-crimes-of-dishonesty,count,4132
Aberdeenshire,Local Authority,2005/2006,crimes-group-2-sexual-assault,count,150
Perth and Kinross,Local Authority,2005/2006,all-group-3-crimes-of-dishonesty,count,3420
Aberdeenshire,Local Authority,2005/2006,crimes-group-1-other-non-sexual-violence,count,95
Aberdeenshire,Local Authority,2005/2006,crimes-group-2-crimes-associated-with-prostitution,count,0
Scottish Borders,Local Authority,2005/2006,crimes-group-1-murder-and-culpable-homicide,count,0
Aberdeenshire,Local Authority,2005/2006,crimes-group-3-theft-from-a-motor-vehicle,count,148
Aberdeenshire,Local Authority,2005/2006,crimes-group-3-theft-by-opening-lockfast-places,count,309
Dumfries and Galloway,Local Authority,2005/2006,all-crimes,count,11565
Stirling,Local Authority,2005/2006,crimes-group-5-weapons-possession-not-used,count,125
Shetland Islands,Local Authority,2005/2006,all-group-1-non-sexual-crimes-of-violence,count,168
Scottish Borders,Local Authority,2005/2006,offences-group-8-driving-under-the-influence,count,213
Fife,Local Authority,2005/2006,crimes-group-4-fire-raising,count,399
Scottish Borders,Local Authority,2005/2006,crimes-group-1-causing-death-by-driving-dangerously,count,3
Scottish Borders,Local Authority,2005/2006,crimes-group-4-fire-raising,count,57
Moray,Local Authority,2005/2006,crimes-group-2-crimes-associated-with-prostitution,count,0
Scottish Borders,Local Authority,2005/2006,crimes-group-5-crimes-against-public-justice,count,401
Shetland Islands,Local Authority,2005/2006,crimes-group-2-rape-attempted-rape,count,1
Shetland Islands,Local Authority,2005/2006,crimes-group-2-sexual-assault,count,27
Perth and Kinross,Local Authority,2005/2006,crimes-group-3-theft-from-a-motor-vehicle,count,141
Aberdeenshire,Local Authority,2005/2006,all-group-3-crimes-of-dishonesty,count,4985
Falkirk,Local Authority,2005/2006,crimes-group-2-sexual-assault,count,118
Scottish Borders,Local Authority,2005/2006,offences-group-6-urinating-etc,count,33
Shetland Islands,Local Authority,2005/2006,all-group-3-crimes-of-dishonesty,count,297
Falkirk,Local Authority,2005/2006,crimes-group-2-rape-attempted-rape,count,33
Shetland Islands,Local Authority,2005/2006,crimes-group-2-crimes-associated-with-prostitution,count,0
Falkirk,Local Authority,2005/2006,crimes-group-1-robbery,count,32
Falkirk,Local Authority,2005/2006,crimes-group-2-crimes-associated-with-prostitution,count,1
Shetland Islands,Local Authority,2005/2006,crimes-group-1-robbery,count,1
Glasgow City,Local Authority,2006/2007,crimes-group-4-fire-raising,count,771
City of Edinburgh,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,262
City of Edinburgh,Local Authority,2006/2007,crimes-group-4-vandalism,count,12088
Moray,Local Authority,2006/2007,crimes-group-3-other-theft,count,1204
Glasgow City,Local Authority,2006/2007,crimes-group-5-crimes-against-public-justice,count,6597
Moray,Local Authority,2006/2007,crimes-group-3-fraud,count,102
City of Edinburgh,Local Authority,2006/2007,all-group-5-crimes-against-society,count,7946
City of Edinburgh,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,807
Glasgow City,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,948
City of Edinburgh,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,423
City of Edinburgh,Local Authority,2006/2007,crimes-group-1-other-non-sexual-violence,count,452
City of Edinburgh,Local Authority,2006/2007,crimes-group-1-common-assault,count,8234
Moray,Local Authority,2006/2007,crimes-group-3-other-dishonesty,count,93
Moray,Local Authority,2006/2007,crimes-group-4-fire-raising,count,67
City of Edinburgh,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,2
City of Edinburgh,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,11
Fife,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,0
City of Edinburgh,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,12743
Glasgow City,Local Authority,2006/2007,crimes-group-3-other-theft,count,11720
Glasgow City,Local Authority,2006/2007,crimes-group-3-fraud,count,1625
City of Edinburgh,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
City of Edinburgh,Local Authority,2006/2007,crimes-group-2-causing-to-view-sexual-activity-or-images,count,95
City of Edinburgh,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,2471
East Renfrewshire,Local Authority,2006/2007,crimes-group-4-reckless-conduct,count,29
East Renfrewshire,Local Authority,2006/2007,crimes-group-4-vandalism,count,1484
East Renfrewshire,Local Authority,2006/2007,crimes-group-5-weapons-possession-not-used,count,96
East Renfrewshire,Local Authority,2006/2007,all-group-5-crimes-against-society,count,624
East Renfrewshire,Local Authority,2006/2007,crimes-group-3-theft-of-a-motor-vehicle,count,113
East Renfrewshire,Local Authority,2006/2007,crimes-group-2-indecent-photos-of-children,count,0
East Renfrewshire,Local Authority,2006/2007,all-group-4-damage-and-reckless-behaviour,count,1563
Moray,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,552
Moray,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,195
Glasgow City,Local Authority,2006/2007,all-crimes,count,88394
Moray,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,1953
East Renfrewshire,Local Authority,2006/2007,crimes-group-5-drugs-possession,count,239
East Renfrewshire,Local Authority,2006/2007,crimes-group-5-drugs-supply,count,43
Inverclyde,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,0
Perth and Kinross,Local Authority,2006/2007,crimes-group-2-crimes-associated-with-prostitution,count,5
Dundee City,Local Authority,2006/2007,crimes-group-3-housebreaking,count,1201
Inverclyde,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,194
East Ayrshire,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,227
Dundee City,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,490
East Ayrshire,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,194
Dundee City,Local Authority,2006/2007,crimes-group-3-theft-by-opening-lockfast-places,count,386
East Renfrewshire,Local Authority,2006/2007,crimes-group-1-other-non-sexual-violence,count,25
East Renfrewshire,Local Authority,2006/2007,crimes-group-1-common-assault,count,573
East Renfrewshire,Local Authority,2006/2007,crimes-group-2-causing-to-view-sexual-activity-or-images,count,9
East Renfrewshire,Local Authority,2006/2007,crimes-group-1-causing-death-by-driving-dangerously,count,1
East Renfrewshire,Local Authority,2006/2007,crimes-group-1-murder-and-culpable-homicide,count,0
East Renfrewshire,Local Authority,2006/2007,crimes-group-1-serious-assault-and-attempted-murder,count,65
Glasgow City,Local Authority,2006/2007,crimes-group-3-shoplifting,count,4989
East Renfrewshire,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,754
East Renfrewshire,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,85
East Renfrewshire,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,111
Glasgow City,Local Authority,2006/2007,crimes-group-3-theft-by-opening-lockfast-places,count,965
East Renfrewshire,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,3
Glasgow City,Local Authority,2006/2007,crimes-group-3-theft-from-a-motor-vehicle,count,4803
City of Edinburgh,Local Authority,2006/2007,crimes-group-5-drugs-possession,count,2513
City of Edinburgh,Local Authority,2006/2007,crimes-group-5-other-crimes-against-society,count,19
City of Edinburgh,Local Authority,2006/2007,crimes-group-5-drugs-supply,count,1791
City of Edinburgh,Local Authority,2006/2007,offences-group-8-dangerous-and-careless-driving,count,380
City of Edinburgh,Local Authority,2006/2007,offences-group-8-driving-under-the-influence,count,836
City of Edinburgh,Local Authority,2006/2007,offences-group-6-threatening-and-abusive-behaviour,count,6134
Glasgow City,Local Authority,2006/2007,crimes-group-2-rape-attempted-rape,count,161
Glasgow City,Local Authority,2006/2007,crimes-group-1-robbery,count,1275
